clase,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,
arte,0,10,0,0,10,10,0,0,5,10,5,20,10,"12,5",0,0,20,20,20,20,0,0,15,15,10,
ciencia,5,15,5,5,5,20,0,0,20,0,5,"12,5","7,5",10,0,0,10,10,"2,5",0,10,20,20,20,20,
tecnologia ,20,10,10,10,15,0,10,10,5,"2,5",10,5,10,5,10,10,10,10,5,10,10,"2,5",5,5,"7,5",
CienciasHumanas,5,"2,5",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
tipo_1,0,0,0,0,0,0,0,0,10,10,0,5,5,5,0,10,5,5,10,0,0,5,0,0,0,
tipo_2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,"2,5","2,5",0,0,0,10,0,0,0,
tipo_3,0,5,10,5,0,0,0,0,0,0,0,10,0,0,0,0,10,10,0,0,"2,5",0,0,0,0,
tipo_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,
tipo_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,
tipo_6,15,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,"2,5",0,10,10,0,
tipo_7,0,0,0,10,5,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,
tipo_8,0,0,0,0,0,0,10,10,0,0,0,0,10,0,10,10,0,0,0,10,0,0,10,5,10,
comunicacion,3,4,6,5,4,4,2,4,4,4,4,4,5,4,3,3,4,4,5,2,3,3,4,6,3,
interactivos,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,1,
noInteractivos,3,3,3,3,6,0,0,6,0,2,4,0,2,0,1,0,2,2,0,0,1,4,7,0,0,
fisicos,0,0,1,2,1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,3,4,4,0,0,
individual,10,10,10,10,10,10,0,0,0,0,0,10,0,10,10,10,10,10,0,10,10,0,10,10,0,
aPares,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
subGrupos,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grupos,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,
grupoTotal,10,10,0,0,10,0,10,10,5,10,0,10,5,10,0,0,10,10,10,0,0,10,10,10,10,
aulaFisica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
aulaVirtual,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
escuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
hogar,0,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,
comunidad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,5",
,1,1,1,1,1,2,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,2,4,1,
,"2,5","2,5",2,2,2,2,1,1,3,1,2,2,1,3,2,1,1,1,1,1,1,1,2,4,2,
